Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
97,0.0009860751367017047,0.8689245671698758
98,0.0009697559265843982,0.8698943230964602
99,0.0009634907469468602,0.8708578138434071
100,0.0009590294587457169,0.8718168433021528
101,0.0009430750535105828,0.8727599183556634
102,0.0009411026955756806,0.873701021051239
103,0.0009174792066436549,0.8746185002578827
104,0.0009085140553118781,0.8755270143131946
105,0.0009032519953235093,0.8764302663085181
106,0.0008936034936541563,0.8773238698021723
107,0.0008813691007184167,0.8782052389028907
108,0.0008757933149632834,0.8790810322178539
109,0.000864111925515042,0.879945144143369
110,0.0008565771087261239,0.8808017212520951
111,0.0008457986820949148,0.88164751993419
112,0.0008287601933372287,0.8824762801275272
113,0.0008249693665554,0.8833012494940826
114,0.0008164177872217533,0.8841176672813044
115,0.0008126853645716787,0.884930352645876
116,0.0007929450944516513,0.8857232977403277
117,0.0007889460759440003,0.8865122438162717
118,0.000782347286943938,0.8872945911032156
119,0.0007795132586772734,0.8880741043618929
120,0.0007735792133558729,0.8888476835752488
121,0.0007651540034779015,0.8896128375787267
122,0.0007563050895921826,0.8903691426683189
123,0.0007474659134446355,0.8911166085817636
124,0.0007387726863812428,0.8918553812681448
125,0.0007335433360895158,0.8925889246042343
126,0.0007271683502091795,0.8933160929544435
127,0.0007177482893275342,0.894033841243771
128,0.0007109591787594047,0.8947448004225305
129,0.0006996852085471186,0.8954444856310776
130,0.0006944549544012426,0.8961389405854788
131,0.0006898515211287642,0.8968287921066076
132,0.0006819524176218981,0.8975107445242295
133,0.000671920821795054,0.8981826653460245
134,0.0006636397817262589,0.8988463051277508
135,0.0006570602776965759,0.8995033654054474
136,0.0006473343287756756,0.9001506997342231
137,0.0006416821094804016,0.9007923818437036
138,0.0006396466426147827,0.9014320284863183
139,0.0006332827877361336,0.9020653112740544
140,0.0006279546863319491,0.9026932659603863
141,0.0006167336298159096,0.9033099995902023
142,0.0006155826741531112,0.9039255822643554
143,0.0006116895469846094,0.90453727181134
144,0.0006054024735393172,0.9051426742848794
145,0.0005957014836556569,0.905738375768535
146,0.0005925967626374743,0.9063309725311725
147,0.0005863868655923985,0.9069173593967649
148,0.0005838672054891055,0.907501226602254
149,0.0005800251101201017,0.9080812517123741
150,0.0005735288976811167,0.9086547806100552
151,0.0005714529324999548,0.9092262335425552
152,0.0005641827346050974,0.9097904162771603
153,0.0005597892065421097,0.9103502054837024
154,0.0005552518486215572,0.910905457332324
155,0.0005467246630818462,0.9114521819954058
156,0.0005420479100300727,0.9119942299054359
157,0.0005371502504176967,0.9125313801558536
158,0.0005349405713676246,0.9130663207272212
159,0.0005303121247569401,0.9135966328519781
160,0.0005279936830204707,0.9141246265349986
161,0.0005231302395631625,0.9146477567745618
162,0.000519582878755609,0.9151673396533174
163,0.0005136784961033383,0.9156810181494207
164,0.0005098128119967532,0.9161908309614175
165,0.0005073933458047484,0.9166982243072223
166,0.0005024731778018901,0.9172006974850242
167,0.0004963368945551138,0.9176970343795793
168,0.0004915123008540676,0.9181885466804334
169,0.0004885044299730993,0.9186770511104064
170,0.0004840570255188517,0.9191611081359253
171,0.0004819681472930034,0.9196430762832183
172,0.00048035270946239196,0.9201234289926806
173,0.00047593682273932355,0.9205993658154199
174,0.00047338390852356217,0.9210727497239435
175,0.0004713279151688357,0.9215440776391123
176,0.00046400673933612573,0.9220080843784484
177,0.00046072492436528226,0.9224688093028137
178,0.0004575349309263693,0.9229263442337401
179,0.00045710144663568337,0.9233834456803758
180,0.0004511467215064807,0.9238345924018823
181,0.00044862609292223066,0.9242832184948044
182,0.0004442367294527049,0.9247274552242571
183,0.0004410771867185305,0.9251685324109756
184,0.0004390837669836371,0.9256076161779593
185,0.0004370476956396366,0.926044663873599
186,0.00043012900862351316,0.9264747928822225
187,0.00042204135257811526,0.9268968342348005
188,0.00042011322096561257,0.9273169474557661
189,0.0004180155667534395,0.9277349630225196
190,0.0004135003510873926,0.928148463373607
191,0.00041085554998783317,0.9285593189235949
192,0.00040823102726372215,0.9289675499508586
193,0.00040680635509721266,0.9293743563059559
194,0.000404921585762506,0.9297792778917184
195,0.0004011024576378042,0.9301803803493562
196,0.00039948626994495013,0.9305798666193011
197,0.0003962438592798783,0.930976110478581
198,0.00039393568187117903,0.9313700461604522
199,0.00038936606208134347,0.9317594122225336
200,0.00038708366849317405,0.9321464958910267
201,0.0003852476953989842,0.9325317435864257
202,0.0003848419869370755,0.9329165855733628
